"","Identifier","River","Purpose","Length","Lanes","Material","Span","Type"
"1","E1","Monongahela","HIGHWAY","?","2","WOOD","SHORT","WOOD"
"2","E2","Allegheny","HIGHWAY","MEDIUM","2","WOOD","SHORT","WOOD"
"3","E3","Allegheny","AQUEDUCT","?","1","WOOD","?","WOOD"
"4","E5","Allegheny","HIGHWAY","MEDIUM","2","WOOD","SHORT","WOOD"
"5","E6","Monongahela","HIGHWAY","?","2","WOOD","?","WOOD"
"6","E7","Allegheny","HIGHWAY","SHORT","2","WOOD","MEDIUM","WOOD"
"7","E8","Allegheny","AQUEDUCT","MEDIUM","1","IRON","SHORT","SUSPEN"
"8","E9","Monongahela","HIGHWAY","MEDIUM","2","IRON","SHORT","SUSPEN"
"9","E10","Allegheny","AQUEDUCT","?","1","WOOD","?","WOOD"
"10","E11","Allegheny","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"11","E12","Allegheny","RR","?","2","WOOD","?","WOOD"
"12","E14","Monongahela","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"13","E13","Allegheny","HIGHWAY","?","2","WOOD","?","WOOD"
"14","E15","Allegheny","RR","?","2","WOOD","?","WOOD"
"15","E16","Allegheny","HIGHWAY","MEDIUM","2","IRON","MEDIUM","SUSPEN"
"16","E17","Monongahela","RR","MEDIUM","2","IRON","MEDIUM","SIMPLE-T"
"17","E18","Allegheny","RR","MEDIUM","2","IRON","SHORT","SIMPLE-T"
"18","E19","Allegheny","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"19","E20","Allegheny","HIGHWAY","MEDIUM","2","WOOD","MEDIUM","WOOD"
"20","E21","Monongahela","RR","?","2","IRON","?","SIMPLE-T"
"21","E23","Monongahela","HIGHWAY","MEDIUM","?","STEEL","LONG","SUSPEN"
"22","E22","Allegheny","HIGHWAY","MEDIUM","4","WOOD","SHORT","WOOD"
"23","E24","Ohio","RR","?","2","STEEL","?","SIMPLE-T"
"24","E25","Monongahela","RR","?","2","STEEL","?","SIMPLE-T"
"25","E27","Allegheny","RR","?","2","STEEL","?","SIMPLE-T"
"26","E26","Monongahela","RR","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"27","E30","Allegheny","RR","?","2","STEEL","MEDIUM","SIMPLE-T"
"28","E29","Allegheny","HIGHWAY","MEDIUM","2","STEEL","MEDIUM","SUSPEN"
"29","E28","Monongahela","HIGHWAY","MEDIUM","2","STEEL","MEDIUM","ARCH-T"
"30","E32","Allegheny","HIGHWAY","?","2","IRON","MEDIUM","SIMPLE-T"
"31","E31","Monongahela","RR","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"32","E34","Ohio","RR","LONG","2","STEEL","LONG","SIMPLE-T"
"33","E33","Monongahela","HIGHWAY","MEDIUM","?","IRON","MEDIUM","SIMPLE-T"
"34","E36","Ohio","HIGHWAY","?","2","IRON","SHORT","SIMPLE-T"
"35","E35","Allegheny","HIGHWAY","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"36","E38","Monongahela","HIGHWAY","?","2","IRON","MEDIUM","SIMPLE-T"
"37","E37","Monongahela","RR","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"38","E39","Allegheny","HIGHWAY","?","2","STEEL","MEDIUM","SIMPLE-T"
"39","E4","Allegheny","AQUEDUCT","MEDIUM","1","WOOD","SHORT","WOOD"
"40","E40","Monongahela","HIGHWAY","?","2","STEEL","MEDIUM","SIMPLE-T"
"41","E41","Monongahela","HIGHWAY","?","2","IRON","MEDIUM","SIMPLE-T"
"42","E42","Monongahela","HIGHWAY","LONG","2","STEEL","LONG","SIMPLE-T"
"43","E44","Ohio","HIGHWAY","?","2","STEEL","LONG","SUSPEN"
"44","E43","Monongahela","HIGHWAY","MEDIUM","2","STEEL","LONG","NOT-TIED"
"45","E46","Allegheny","RR","LONG","2","STEEL","LONG","SIMPLE-T"
"46","E45","Monongahela","RR","LONG","?","STEEL","?","SIMPLE-T"
"47","E47","Monongahela","RR","LONG","2","STEEL","MEDIUM","SIMPLE-T"
"48","E58","Allegheny","HIGHWAY","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"49","E48","Allegheny","HIGHWAY","LONG","2","STEEL","MEDIUM","SIMPLE-T"
"50","E94","Monongahela","RR","?","2","STEEL","LONG","SIMPLE-T"
"51","E49","Allegheny","HIGHWAY","MEDIUM","2","STEEL","MEDIUM","CANTILEV"
"52","E95","Monongahela","RR","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"53","E87","Allegheny","RR","LONG","2","STEEL","MEDIUM","SIMPLE-T"
"54","E51","Monongahela","RR","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"55","E50","Monongahela","RR","MEDIUM","?","STEEL","LONG","SIMPLE-T"
"56","E89","Monongahela","RR","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"57","E53","Allegheny","RR","SHORT","4","STEEL","MEDIUM","SIMPLE-T"
"58","E52","Monongahela","RR","MEDIUM","?","STEEL","LONG","CANTILEV"
"59","E54","Youghiogheny","HIGHWAY","MEDIUM","?","STEEL","MEDIUM","SIMPLE-T"
"60","E56","Monongahela","HIGHWAY","?","?","STEEL","MEDIUM","SIMPLE-T"
"61","E55","Allegheny","HIGHWAY","MEDIUM","2","STEEL","LONG","SIMPLE-T"
"62","E57","Ohio","RR","MEDIUM","2","STEEL","LONG","CANTILEV"
"63","E59","Ohio","HIGHWAY","MEDIUM","2","STEEL","LONG","CANTILEV"
"64","E107","Allegheny","RR","?","?","STEEL","?","NIL"
"65","E92","Monongahela","RR","LONG","?","STEEL","MEDIUM","SIMPLE-T"
"66","E61","Ohio","RR","LONG","2","STEEL","LONG","SIMPLE-T"
"67","E60","Allegheny","HIGHWAY","MEDIUM","4","STEEL","LONG","SIMPLE-T"
"68","E62","Allegheny","RR","LONG","2","STEEL","LONG","CONT-T"
"69","E63","Allegheny","RR","LONG","2","STEEL","MEDIUM","SIMPLE-T"
"70","E65","Allegheny","WALK","?","?","STEEL","?","SUSPEN"
"71","E64","Allegheny","HIGHWAY","SHORT","4","STEEL","MEDIUM","NOT-TIED"
"72","E66","Allegheny","HIGHWAY","LONG","4","STEEL","MEDIUM","NOT-TIED"
"73","E70","Allegheny","HIGHWAY","SHORT","4","STEEL","MEDIUM","SUSPEN"
"74","E69","Allegheny","HIGHWAY","SHORT","4","STEEL","MEDIUM","SUSPEN"
"75","E101","Ohio","HIGHWAY","MEDIUM","2","STEEL","LONG","CANTILEV"
"76","E73","Allegheny","HIGHWAY","MEDIUM","?","STEEL","MEDIUM","TIED-A"
"77","E72","Monongahela","HIGHWAY","LONG","4","STEEL","MEDIUM","CANTILEV"
"78","E67","Monongahela","HIGHWAY","MEDIUM","4","STEEL","LONG","CANTILEV"
"79","E75","Allegheny","HIGHWAY","LONG","4","STEEL","MEDIUM","NOT-TIED"
"80","E74","Monongahela","HIGHWAY","LONG","2","STEEL","MEDIUM","CANTILEV"
"81","E71","Allegheny","HIGHWAY","SHORT","4","STEEL","MEDIUM","SUSPEN"
"82","E68","Monongahela","HIGHWAY","LONG","2","STEEL","MEDIUM","SIMPLE-T"
"83","E78","Ohio","HIGHWAY","MEDIUM","4","STEEL","LONG","NOT-TIED"
"84","E77","Ohio","HIGHWAY","MEDIUM","4","STEEL","LONG","NOT-TIED"
"85","E76","Monongahela","HIGHWAY","MEDIUM","4","STEEL","LONG","SUSPEN"
"86","E93","Monongahela","HIGHWAY","MEDIUM","4","STEEL","LONG","CONT-T"
"87","E79","Allegheny","HIGHWAY","MEDIUM","4","STEEL","MEDIUM","CANTILEV"
"88","E108","Allegheny","HIGHWAY","MEDIUM","4","STEEL","MEDIUM","CONT-T"
"89","E107N","Allegheny","RR","SHORT","2","STEEL","MEDIUM","SIMPLE-T"
"90","E105","Allegheny","HIGHWAY","MEDIUM","2","STEEL","MEDIUM","CONT-T"
"91","E103","Ohio","HIGHWAY","LONG","2","STEEL","LONG","CANTILEV"
"92","E97","Youghiogheny","HIGHWAY","?","?","STEEL","MEDIUM","NOT-TIED"
"93","E96","Youghiogheny","RR","?","?","STEEL","MEDIUM","SIMPLE-T"
"94","E99","Monongahela","HIGHWAY","MEDIUM","2","STEEL","MEDIUM","SIMPLE-T"
"95","E98","Monongahela","HIGHWAY","SHORT","4","STEEL","MEDIUM","CONT-T"
"96","E81","Monongahela","HIGHWAY","LONG","4","STEEL","LONG","CONT-T"
"97","E80","Monongahela","HIGHWAY","MEDIUM","4","STEEL","LONG","CANTILEV"
"98","E88","Allegheny","HIGHWAY","LONG","4","STEEL","LONG","CONT-T"
"99","E82","Ohio","HIGHWAY","SHORT","?","STEEL","?","SIMPLE-T"
"100","E102","Ohio","HIGHWAY","MEDIUM","2","STEEL","LONG","CONT-T"
"101","E83","Monongahela","HIGHWAY","MEDIUM","6","STEEL","LONG","TIED-A"
"102","E86","Allegheny","HIGHWAY","SHORT","4","STEEL","MEDIUM","CONT-T"
"103","E85","Monongahela","HIGHWAY","LONG","4","STEEL","LONG","CONT-T"
"104","E84","Allegheny","HIGHWAY","SHORT","6","STEEL","MEDIUM","TIED-A"
"105","E91","Ohio","HIGHWAY","LONG","6","STEEL","LONG","TIED-A"
"106","E90","Monongahela","HIGHWAY","SHORT","6","STEEL","LONG","TIED-A"
"107","E100","Ohio","HIGHWAY","?","?","?","?","?"
"108","E109","Allegheny","HIGHWAY","?","?","?","?","?"
